row_id,planet_name,num_stars,num_planets,num_moons,orbital_period,radius_in_earth,mass_in_earth,planet_mass,eccentricity,equilibrium_temp_K,st_eff_temp_k,st_radius,st_mass
4482,Kepler-794 b,1,1,0,11.13127,1.79,,,0,924,6117,1.16,1.05
4483,Kepler-795 b,2,1,0,29.6193891,1.74,,,0,580,5618,1,0.91
4484,Kepler-796 b,1,1,0,6.40087618,2.18,,,0,1226,5353,1.88,1.1
4485,Kepler-797 b,1,1,0,27.07237711,1.94,,,0,554,5589,0.84,0.82
4486,Kepler-798 b,1,1,0,13.71933369,2.1,,,0,887,6428,1.16,1.16
4487,Kepler-799 b,1,2,0,133.4625115,,,,,,,,
4488,Kepler-799 c,1,2,0,15.19423359,3.69,,,0,893,5588,1.59,1.03
4489,Kepler-8 b,1,1,0,3.52249857,15.31,,,,,6258,1.49,1.23
4490,Kepler-80 b,1,6,0,7.05352715,2.16,,,0,547,4041,0.57,0.58
4491,Kepler-80 c,1,6,0,9.52165016,2.27,,,0,495,4040,0.57,0.59
4492,Kepler-80 d,1,6,0,3.07216597,1.11,,,,720,4040,0.57,0.59
4493,Kepler-80 e,1,6,0,4.645387,1.64,,,,,4613,0.64,
4494,Kepler-80 f,1,6,0,0.9867873,1.21,,,,,4540,0.68,0.73
4495,Kepler-80 g,1,6,0,14.64558,1.13,,,,418,4540,0.68,0.83
4496,Kepler-800 b,1,1,0,,2.877,,,,,5621,0.78,
4497,Kepler-801 b,1,1,0,11.41926141,1.48,,,0,419,3823,0.49,0.51
4498,Kepler-802 b,1,1,0,40.0587473,3.46,,,0,490,5674,0.87,0.97
4499,Kepler-803 b,1,1,0,50.286792,,,,,,5928.59,1.25,1.08
4500,Kepler-804 b,1,2,0,14.37457351,1.9,,,0,767,5775,1.03,0.95
4501,Kepler-804 c,1,2,0,,1.074,,,,,5705,1.06,
4502,Kepler-805 b,1,1,0,30.8638931,2.89,,,,,6112,1.65,1.19
4503,Kepler-806 b,1,1,0,8.09219642,1.14,,,,,5770,1.16,0.99
4504,Kepler-808 b,1,1,0,0.63133171,1.2,,,0,1322,4441,0.53,0.53
4505,Kepler-809 b,1,1,0,55.63934,2.96,,,0,478,5949,0.96,1.05
4506,Kepler-81 b,1,3,0,5.95489993,,,,,,4500,0.58,0.71
4507,Kepler-81 c,1,3,0,12.03991661,,,,,,4500,0.58,0.71
4508,Kepler-81 d,1,3,0,,1.441,,,,,4263,0.64,
4509,Kepler-810 b,1,1,0,4.59725385,1.93,,,,,5803,1.04,1.03
4510,Kepler-811 b,1,1,0,,3.263,,,,,5639,1.47,
4511,Kepler-812 b,1,1,0,10.11716531,3.16,,,0,1228,7138,1.55,1.39
4512,Kepler-813 b,1,1,0,19.12947337,2.27,,,0,698,6061,0.97,1.05
4513,Kepler-814 b,1,1,0,6.14703115,,,,,,6107,1.93,1.15
4514,Kepler-815 b,1,1,0,8.57438584,,,,,,4982.09,3.69,
4515,Kepler-816 b,1,1,0,10.50682828,,,,,,4797.24,0.94,0.78
4516,Kepler-817 b,1,1,0,3.99010825,,,,,,5593,1.18,0.99
4517,Kepler-818 b,1,1,0,10.03538181,,,,,,5624,0.91,1
4518,Kepler-819 b,1,1,0,33.1995648,2.56,,,0,468,5307,0.76,0.83
4519,Kepler-82 b,1,5,0,26.44435456,4.66,,,,,5529,0.93,0.96
4520,Kepler-82 c,1,5,0,51.53998542,6.08,,,,,5529,0.93,0.96
4521,Kepler-82 d,1,5,0,2.38295159,1.86,,,0,1253,5427,0.93,0.92
4522,Kepler-82 e,1,5,0,5.90224692,2.55,,,0,970,5739,0.93,0.97
4523,Kepler-82 f,1,5,0,75.732,,20.9,20.9,0.0014,,,0.9,0.91
4524,Kepler-820 b,1,1,0,127.8338098,7.57,,,0,498,6205,1.69,1.08
4525,Kepler-821 b,1,1,0,1.92279873,1.25,,,0,1194,5155,0.78,0.81
4526,Kepler-822 b,1,1,0,,1.514,,,,,5680,0.99,
4527,Kepler-823 b,1,1,0,4.16809082,1.95,,,0,1204,5739,1.18,1.1
4528,Kepler-824 b,1,1,0,4.51436096,1.84,,,0,1231,5940,1.22,1.09
4529,Kepler-825 b,1,2,0,3.77360059,1.35,,,0,1270,6224,0.97,0.87
4530,Kepler-825 c,1,2,0,8.18187101,,,,,,6192,1,1.19
4531,Kepler-826 b,1,1,0,4.48758907,0.89,,,0,1043,5977,0.8,0.89
4532,Kepler-827 b,1,1,0,51.929198,,,,,,5565,1.4,0.98
4533,Kepler-828 b,1,1,0,,1.32,,,,,4965,0.72,
4534,Kepler-829 b,1,1,0,6.88337562,1.76,,,0,863,5693,0.8,0.88
4535,Kepler-83 b,2,3,0,9.77042372,2.38,,,,,4648,,
4536,Kepler-83 c,2,3,0,20.0901,2.04,,,,,4648,,
4537,Kepler-83 d,2,3,0,5.169796,1.94,,,,,4648,0.59,
4538,Kepler-830 b,1,1,0,11.29695137,1.7,,,,,6037,1.11,1.07
4539,Kepler-831 b,1,1,0,5.62153225,,,,,,5750.35,1.02,1.03
4540,Kepler-832 b,1,1,0,7.1396941,2.06,,,,,5596,0.9,0.92
4541,Kepler-833 b,1,1,0,18.75444,1.89,,,0,428,4373,0.57,0.61
4542,Kepler-834 b,1,1,0,13.32388301,1.35,,,0,378,3750,0.45,0.48
4543,Kepler-835 b,1,1,0,11.41909375,2.79,,,,,5954,1.11,1.08
4544,Kepler-836 b,1,1,0,11.36112327,2.68,,,0,871,6244,1.02,1.08
4545,Kepler-837 b,1,1,0,16.56059504,2.71,,,0,702,5818,0.85,0.73
4546,Kepler-838 b,1,1,0,15.74957994,2.73,,,,,5770,0.96,0.98
4547,Kepler-839 b,1,1,0,37.81536308,,,,,,5927.07,1.57,1.08
4548,Kepler-84 b,1,5,0,8.72585936,2.75,,,0,932,6028,1.02,1
4549,Kepler-84 c,1,5,0,12.883,2.06,20.2,20.2,,,,1.02,1
4550,Kepler-84 d,1,5,0,4.22451369,1.3,,,0,1188,6028,1.02,1
4551,Kepler-84 e,1,5,0,27.434389,2.6,,,,,6031,1.17,
4552,Kepler-84 f,1,5,0,44.5518416,2.08,,,0,541,6028,1.02,1
4553,Kepler-841 b,1,1,0,124.4198398,4.67,,,0,304,5446,0.72,0.78
4554,Kepler-842 b,1,1,0,1.21956877,,,,,,4668,0.76,0.74
4555,Kepler-843 b,1,1,0,2.053899,2.31,,,0,1359,5853,0.89,0.99
4556,Kepler-844 b,1,1,0,,1.812,,,,,3880,0.63,
4557,Kepler-845 b,1,1,0,0.9278551,1.46,,,0,1360,4858,0.69,0.7
4558,Kepler-846 b,1,1,0,19.80787763,2.08,,,0,624,5775,0.84,0.93
4559,Kepler-847 b,1,1,0,2.3432319,1.34,,,0,1107,4876,0.85,0.81
4560,Kepler-848 b,1,1,0,6.91134416,1.7,,,,,5695,1.2,1.01
4561,Kepler-849 b,1,1,0,,8.245,,,,,5979,1.83,
4562,Kepler-85 b,1,4,0,8.3053749,2.12,,,0,831,5695,0.87,0.97
4563,Kepler-85 c,1,4,0,12.51374906,,,,,,5495,0.86,0.96
4564,Kepler-85 d,1,4,0,,1.386,,,,,5520,0.87,
4565,Kepler-85 e,1,4,0,,1.186,,,,,5520,0.87,
4566,Kepler-850 b,1,1,0,7.19303878,1.65,,,0,996,6185,0.99,1.06
4567,Kepler-851 b,1,1,0,8.50698069,,,,,,5585,0.78,0.99
4568,Kepler-852 b,1,1,0,44.9309804,2.54,,,,,6100,1.16,1.19
4569,Kepler-853 b,1,1,0,7.168879,1.28,,,0,1077,6182,1.22,1.21
4570,Kepler-855 b,1,1,0,,11.851,,,,,5849,1.5,
4571,Kepler-856 b,1,1,0,,9.949,,,,,5576,1.05,
4572,Kepler-857 b,1,1,0,85.35129427,6.8,,,,,5773,0.99,0.99
4573,Kepler-858 b,1,1,0,76.13602028,4.87,,,,,5653,0.91,0.96
4574,Kepler-859 b,1,1,0,20.38177573,2.87,,,0,519,5100,0.71,0.79
4575,Kepler-860 b,1,1,0,5.10137737,,,,,,5529.64,0.91,0.97
4576,Kepler-861 b,1,1,0,3.949633,2.1,,,0,927,5078,0.75,0.75
4577,Kepler-862 b,1,1,0,3.14866453,2.27,,,0,1097,5258,0.87,0.8
4578,Kepler-863 b,1,1,0,15.59466045,2.74,,,0,718,5900,0.93,0.99
4579,Kepler-864 b,1,2,0,5.83376197,,,,,,5621,1.34,1
4580,Kepler-864 c,1,2,0,2.42149592,,,,,,5621,1.34,1
4581,Kepler-865 b,1,2,0,,2.166,,,,,5428,0.81,
4582,Kepler-865 c,1,2,0,6.20934,0.95,,,0,926,5438,0.92,0.82
4583,Kepler-866 b,1,1,0,,1.437,,,,,4832,0.66,
